13:001:001	Adam, Sheth, Enosh,
13:016:017	And hath confirmed the same to Jacob for a law, and to Israel for an everlasting covenant,
13:016:018	Saying, Unto thee will I give the land of Canaan, the lot of your inheritance;
13:016:019	When ye were but few, even a few, and strangers in it.
13:016:020	And when they went from nation to nation, and from one kingdom to another people;
13:016:021	He suffered no man to do them wrong: yea, he reproved kings for their sakes,
13:016:022	Saying, Touch not mine anointed, and do my prophets no harm.
13:016:023	Sing unto the LORD, all the earth; shew forth from day to day his salvation.
13:016:024	Declare his glory among the heathen; his marvellous works among all nations.
13:016:025	For great is the LORD, and greatly to be praised: he also is to be feared above all gods.
13:016:026	For all the gods of the people are idols: but the LORD made the heavens.
13:016:027	Glory and honour are in his presence; strength and gladness are in his place.
13:016:028	Give unto the LORD, ye kindreds of the people, give unto the LORD glory and strength.
13:016:029	Give unto the LORD the glory due unto his name: bring an offering, and come before him: worship the LORD in the beauty of holiness.
13:016:030	Fear before him, all the earth: the world also shall be stable, that it be not moved.
13:016:031	Let the heavens be glad, and let the earth rejoice: and let men say among the nations, The LORD reigneth.
13:016:032	Let the sea roar, and the fulness thereof: let the fields rejoice, and all that is therein.
13:016:033	Then shall the trees of the wood sing out at the presence of the LORD, because he cometh to judge the earth.
13:016:034	O give thanks unto the LORD; for he is good; for his mercy endureth for ever.
13:016:035	And say ye, Save us, O God of our salvation, and gather us together, and deliver us from the heathen, that we may give thanks to thy holy name, and glory in thy praise.
13:016:036	Blessed be the LORD God of Israel for ever and ever. And all the people said, Amen, and praised the LORD.
13:016:037	So he left there before the ark of the covenant of the LORD Asaph and his brethren, to minister before the ark continually, as every day's work required:
13:016:038	And Obededom with their brethren, threescore and eight; Obededom also the son of Jeduthun and Hosah to be porters:
13:016:039	And Zadok the priest, and his brethren the priests, before the tabernacle of the LORD in the high place that was at Gibeon,
13:016:040	To offer burnt offerings unto the LORD upon the altar of the burnt offering continually morning and evening, and to do according to all that is written in the law of the LORD, which he commanded Israel;
13:016:041	And with them Heman and Jeduthun, and the rest that were chosen, who were expressed by name, to give thanks to the LORD, because his mercy endureth for ever;
13:016:042	And with them Heman and Jeduthun with trumpets and cymbals for those that should make a sound, and with musical instruments of God. And the sons of Jeduthun were porters.
13:016:043	And all the people departed every man to his house: and David returned to bless his house.
13:017:001	Now it came to pass, as David sat in his house, that David said to Nathan the prophet, Lo, I dwell in an house of cedars, but the ark of the covenant of the LORD remaineth under curtains.
13:017:002	Then Nathan said unto David, Do all that is in thine heart; for God is with thee.
13:017:003	And it came to pass the same night, that the word of God came to Nathan, saying,
13:017:004	Go and tell David my servant, Thus saith the LORD, Thou shalt not build me an house to dwell in:
13:017:005	For I have not dwelt in an house since the day that I brought up Israel unto this day; but have gone from tent to tent, and from one tabernacle to another.
13:017:006	Wheresoever I have walked with all Israel, spake I a word to any of the judges of Israel, whom I commanded to feed my people, saying, Why have ye not built me an house of cedars?
13:017:007	Now therefore thus shalt thou say unto my servant David, Thus saith the LORD of hosts, I took thee from the sheepcote, even from following the sheep, that thou shouldest be ruler over my people Israel:
13:017:008	And I have been with thee whithersoever thou hast walked, and have cut off all thine enemies from before thee, and have made thee a name like the name of the great men that are in the earth.
13:017:009	Also I will ordain a place for my people Israel, and will plant them, and they shall dwell in their place, and shall be moved no more; neither shall the children of wickedness waste them any more, as at the beginning,
13:017:010	And since the time that I commanded judges to be over my people Israel. Moreover I will subdue all thine enemies. Furthermore I tell thee that the LORD will build thee an house.
13:017:011	And it shall come to pass, when thy days be expired that thou must go to be with thy fathers, that I will raise up thy seed after thee, which shall be of thy sons; and I will establish his kingdom.
13:017:012	He shall build me an house, and I will stablish his throne for ever.
13:017:013	I will be his father, and he shall be my son: and I will not take my mercy away from him, as I took it from him that was before thee:
13:017:014	But I will settle him in mine house and in my kingdom for ever: and his throne shall be established for evermore.
13:017:015	According to all these words, and according to all this vision, so did Nathan speak unto David.
13:017:016	And David the king came and sat before the LORD, and said, Who am I, O LORD God, and what is mine house, that thou hast brought me hitherto?
13:017:017	And yet this was a small thing in thine eyes, O God; for thou hast also spoken of thy servant's house for a great while to come, and hast regarded me according to the estate of a man of high degree, O LORD God.
13:017:018	What can David speak more to thee for the honour of thy servant? for thou knowest thy servant.
13:017:019	O LORD, for thy servant's sake, and according to thine own heart, hast thou done all this greatness, in making known all these great things.
13:017:020	O LORD, there is none like thee, neither is there any God beside thee, according to all that we have heard with our ears.
13:017:021	And what one nation in the earth is like thy people Israel, whom God went to redeem to be his own people, to make thee a name of greatness and terribleness, by driving out nations from before thy people whom thou hast redeemed out of Egypt?
13:017:022	For thy people Israel didst thou make thine own people for ever; and thou, LORD, becamest their God.
13:017:023	Therefore now, LORD, let the thing that thou hast spoken concerning thy servant and concerning his house be established for ever, and do as thou hast said.
13:017:024	Let it even be established, that thy name may be magnified for ever, saying, The LORD of hosts is the God of Israel, even a God to Israel: and let the house of David thy servant be established before thee.
13:017:025	For thou, O my God, hast told thy servant that thou wilt build him an house: therefore thy servant hath found in his heart to pray before thee.
13:017:026	And now, LORD, thou art God, and hast promised this goodness unto thy servant:
13:017:027	Now therefore let it please thee to bless the house of thy servant, that it may be before thee for ever: for thou blessest, O LORD, and it shall be blessed for ever.
13:018:001	Now after this it came to pass, that David smote the Philistines, and subdued them, and took Gath and her towns out of the hand of the Philistines.
13:018:002	And he smote Moab; and the Moabites became David's servants, and brought gifts.
13:018:003	And David smote Hadarezer king of Zobah unto Hamath, as he went to stablish his dominion by the river Euphrates.
13:018:004	And David took from him a thousand chariots, and seven thousand horsemen, and twenty thousand footmen: David also houghed all the chariot horses, but reserved of them an hundred chariots.
13:018:005	And when the Syrians of Damascus came to help Hadarezer king of Zobah, David slew of the Syrians two and twenty thousand men.
13:018:006	Then David put garrisons in Syriadamascus; and the Syrians became David's servants, and brought gifts. Thus the LORD preserved David whithersoever he went.
13:018:007	And David took the shields of gold that were on the servants of Hadarezer, and brought them to Jerusalem.
13:018:008	Likewise from Tibhath, and from Chun, cities of Hadarezer, brought David very much brass, wherewith Solomon made the brasen sea, and the pillars, and the vessels of brass.
13:018:009	Now when Tou king of Hamath heard how David had smitten all the host of Hadarezer king of Zobah;
13:018:010	He sent Hadoram his son to king David, to enquire of his welfare, and to congratulate him, because he had fought against Hadarezer, and smitten him; (for Hadarezer had war with Tou;) and with him all manner of vessels of gold and silver and brass.
13:018:011	Them also king David dedicated unto the LORD, with the silver and the gold that he brought from all these nations; from Edom, and from Moab, and from the children of Ammon, and from the Philistines, and from Amalek.
13:018:012	Moreover Abishai the son of Zeruiah slew of the Edomites in the valley of salt eighteen thousand.
13:018:013	And he put garrisons in Edom; and all the Edomites became David's servants. Thus the LORD preserved David whithersoever he went.
13:018:014	So David reigned over all Israel, and executed judgment and justice among all his people.
13:018:015	And Joab the son of Zeruiah was over the host; and Jehoshaphat the son of Ahilud, recorder.
13:018:016	And Zadok the son of Ahitub, and Abimelech the son of Abiathar, were the priests; and Shavsha was scribe;
13:018:017	And Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief about the king.
13:019:001	Now it came to pass after this, that Nahash the king of the children of Ammon died, and his son reigned in his stead.
13:019:002	And David said, I will shew kindness unto Hanun the son of Nahash, because his father shewed kindness to me. And David sent messengers to comfort him concerning his father. So the servants of David came into the land of the children of Ammon to Hanun, to comfort him.
13:019:003	But the princes of the children of Ammon said to Hanun, Thinkest thou that David doth honour thy father, that he hath sent comforters unto thee? are not his servants come unto thee for to search, and to overthrow, and to spy out the land?
13:019:004	Wherefore Hanun took David's servants, and shaved them, and cut off their garments in the midst hard by their buttocks, and sent them away.
13:019:005	Then there went certain, and told David how the men were served. And he sent to meet them: for the men were greatly ashamed. And the king said, Tarry at Jericho until your beards be grown, and then return.
13:019:006	And when the children of Ammon saw that they had made themselves odious to David, Hanun and the children of Ammon sent a thousand talents of silver to hire them chariots and horsemen out of Mesopotamia, and out of Syriamaachah, and out of Zobah.
13:019:007	So they hired thirty and two thousand chariots, and the king of Maachah and his people; who came and pitched before Medeba. And the children of Ammon gathered themselves together from their cities, and came to battle.
13:019:008	And when David heard of it, he sent Joab, and all the host of the mighty men.
13:019:009	And the children of Ammon came out, and put the battle in array before the gate of the city: and the kings that were come were by themselves in the field.
13:019:010	Now when Joab saw that the battle was set against him before and behind, he chose out of all the choice of Israel, and put them in array against the Syrians.
13:019:011	And the rest of the people he delivered unto the hand of Abishai his brother, and they set themselves in array against the children of Ammon.
13:019:012	And he said, If the Syrians be too strong for me, then thou shalt help me: but if the children of Ammon be too strong for thee, then I will help thee.
13:019:013	Be of good courage, and let us behave ourselves valiantly for our people, and for the cities of our God: and let the LORD do that which is good in his sight.
13:019:014	So Joab and the people that were with him drew nigh before the Syrians unto the battle; and they fled before him.
13:019:015	And when the children of Ammon saw that the Syrians were fled, they likewise fled before Abishai his brother, and entered into the city. Then Joab came to Jerusalem.
13:019:016	And when the Syrians saw that they were put to the worse before Israel, they sent messengers, and drew forth the Syrians that were beyond the river: and Shophach the captain of the host of Hadarezer went before them.
13:019:017	And it was told David; and he gathered all Israel, and passed over Jordan, and came upon them, and set the battle in array against them. So when David had put the battle in array against the Syrians, they fought with him.
13:019:018	But the Syrians fled before Israel; and David slew of the Syrians seven thousand men which fought in chariots, and forty thousand footmen, and killed Shophach the captain of the host.
13:019:019	And when the servants of Hadarezer saw that they were put to the worse before Israel, they made peace with David, and became his servants: neither would the Syrians help the children of Ammon any more.
13:020:001	And it came to pass, that after the year was expired, at the time that kings go out to battle, Joab led forth the power of the army, and wasted the country of the children of Ammon, and came and besieged Rabbah. But David tarried at Jerusalem. And Joab smote Rabbah, and destroyed it.
13:020:002	And David took the crown of their king from off his head, and found it to weigh a talent of gold, and there were precious stones in it; and it was set upon David's head: and he brought also exceeding much spoil out of the city.
13:020:003	And he brought out the people that were in it, and cut them with saws, and with harrows of iron, and with axes. Even so dealt David with all the cities of the children of Ammon. And David and all the people returned to Jerusalem.
13:020:004	And it came to pass after this, that there arose war at Gezer with the Philistines; at which time Sibbechai the Hushathite slew Sippai, that was of the children of the giant: and they were subdued.
13:020:005	And there was war again with the Philistines; and Elhanan the son of Jair slew Lahmi the brother of Goliath the Gittite, whose spear staff was like a weaver's beam.
13:020:006	And yet again there was war at Gath, where was a man of great stature, whose fingers and toes were four and twenty, six on each hand, and six on each foot and he also was the son of the giant.
13:020:007	But when he defied Israel, Jonathan the son of Shimea David's brother slew him.
13:020:008	These were born unto the giant in Gath; and they fell by the hand of David, and by the hand of his servants.
13:021:001	And Satan stood up against Israel, and provoked David to number Israel.
13:021:002	And David said to Joab and to the rulers of the people, Go, number Israel from Beersheba even to Dan; and bring the number of them to me, that I may know it.
13:021:003	And Joab answered, The LORD make his people an hundred times so many more as they be: but, my lord the king, are they not all my lord's servants? why then doth my lord require this thing? why will he be a cause of trespass to Israel?
13:021:004	Nevertheless the king's word prevailed against Joab. Wherefore Joab departed, and went throughout all Israel, and came to Jerusalem.
13:021:005	And Joab gave the sum of the number of the people unto David. And all they of Israel were a thousand thousand and an hundred thousand men that drew sword: and Judah was four hundred threescore and ten thousand men that drew sword.
13:021:006	But Levi and Benjamin counted he not among them: for the king's word was abominable to Joab.
13:021:007	And God was displeased with this thing; therefore he smote Israel.
13:021:008	And David said unto God, I have sinned greatly, because I have done this thing: but now, I beseech thee, do away the iniquity of thy servant; for I have done very foolishly.
13:021:009	And the LORD spake unto Gad, David's seer, saying,
13:021:010	Go and tell David, saying, Thus saith the LORD, I offer thee three things: choose thee one of them, that I may do it unto thee.
13:021:011	So Gad came to David, and said unto him, Thus saith the LORD, Choose thee
13:021:012	Either three years' famine; or three months to be destroyed before thy foes, while that the sword of thine enemies overtaketh thee; or else three days the sword of the LORD, even the pestilence, in the land, and the angel of the LORD destroying throughout all the coasts of Israel. Now therefore advise thyself what word I shall bring again to him that sent me.
13:021:013	And David said unto Gad, I am in a great strait: let me fall now into the hand of the LORD; for very great are his mercies: but let me not fall into the hand of man.
13:021:014	So the LORD sent pestilence upon Israel: and there fell of Israel seventy thousand men.
13:021:015	And God sent an angel unto Jerusalem to destroy it: and as he was destroying, the LORD beheld, and he repented him of the evil, and said to the angel that destroyed, It is enough, stay now thine hand. And the angel of the LORD stood by the threshingfloor of Ornan the Jebusite.
13:021:016	And David lifted up his eyes, and saw the angel of the LORD stand between the earth and the heaven, having a drawn sword in his hand stretched out over Jerusalem. Then David and the elders of Israel, who were clothed in sackcloth, fell upon their faces.
13:021:017	And David said unto God, Is it not I that commanded the people to be numbered? even I it is that have sinned and done evil indeed; but as for these sheep, what have they done? let thine hand, I pray thee, O LORD my God, be on me, and on my father's house; but not on thy people, that they should be plagued.
13:021:018	Then the angel of the LORD commanded Gad to say to David, that David should go up, and set up an altar unto the LORD in the threshingfloor of Ornan the Jebusite.
13:021:019	And David went up at the saying of Gad, which he spake in the name of the LORD.
13:021:020	And Ornan turned back, and saw the angel; and his four sons with him hid themselves. Now Ornan was threshing wheat.
13:021:021	And as David came to Ornan, Ornan looked and saw David, and went out of the threshingfloor, and bowed himself to David with his face to the ground.
13:021:022	Then David said to Ornan, Grant me the place of this threshingfloor, that I may build an altar therein unto the LORD: thou shalt grant it me for the full price: that the plague may be stayed from the people.
13:021:023	And Ornan said unto David, Take it to thee, and let my lord the king do that which is good in his eyes: lo, I give thee the oxen also for burnt offerings, and the threshing instruments for wood, and the wheat for the meat offering; I give it all.
13:021:024	And king David said to Ornan, Nay; but I will verily buy it for the full price: for I will not take that which is thine for the LORD, nor offer burnt offerings without cost.
13:021:025	So David gave to Ornan for the place six hundred shekels of gold by weight.
13:021:026	And David built there an altar unto the LORD, and offered burnt offerings and peace offerings, and called upon the LORD; and he answered him from heaven by fire upon the altar of burnt offering.
13:021:027	And the LORD commanded the angel; and he put up his sword again into the sheath thereof.
13:021:028	At that time when David saw that the LORD had answered him in the threshingfloor of Ornan the Jebusite, then he sacrificed there.
13:021:029	For the tabernacle of the LORD, which Moses made in the wilderness, and the altar of the burnt offering, were at that season in the high place at Gibeon.
13:021:030	But David could not go before it to enquire of God: for he was afraid because of the sword of the angel of the LORD.
13:022:001	Then David said, This is the house of the LORD God, and this is the altar of the burnt offering for Israel.
13:022:002	And David commanded to gather together the strangers that were in the land of Israel; and he set masons to hew wrought stones to build the house of God.
13:022:003	And David prepared iron in abundance for the nails for the doors of the gates, and for the joinings; and brass in abundance without weight;
13:022:004	Also cedar trees in abundance: for the Zidonians and they of Tyre brought much cedar wood to David.
13:022:005	And David said, Solomon my son is young and tender, and the house that is to be builded for the LORD must be exceeding magnifical, of fame and of glory throughout all countries: I will therefore now make preparation for it. So David prepared abundantly before his death.
13:022:006	Then he called for Solomon his son, and charged him to build an house for the LORD God of Israel.
13:022:007	And David said to Solomon, My son, as for me, it was in my mind to build an house unto the name of the LORD my God:
13:022:008	But the word of the LORD came to me, saying, Thou hast shed blood abundantly, and hast made great wars: thou shalt not build an house unto my name, because thou hast shed much blood upon the earth in my sight.
13:022:009	Behold, a son shall be born to thee, who shall be a man of rest; and I will give him rest from all his enemies round about: for his name shall be Solomon, and I will give peace and quietness unto Israel in his days.
13:022:010	He shall build an house for my name; and he shall be my son, and I will be his father; and I will establish the throne of his kingdom over Israel for ever.
13:022:011	Now, my son, the LORD be with thee; and prosper thou, and build the house of the LORD thy God, as he hath said of thee.
13:022:012	Only the LORD give thee wisdom and understanding, and give thee charge concerning Israel, that thou mayest keep the law of the LORD thy God.
13:022:013	Then shalt thou prosper, if thou takest heed to fulfil the statutes and judgments which the LORD charged Moses with concerning Israel: be strong, and of good courage; dread not, nor be dismayed.
13:022:014	Now, behold, in my trouble I have prepared for the house of the LORD an hundred thousand talents of gold, and a thousand thousand talents of silver; and of brass and iron without weight; for it is in abundance: timber also and stone have I prepared; and thou mayest add thereto.
13:022:015	Moreover there are workmen with thee in abundance, hewers and workers of stone and timber, and all manner of cunning men for every manner of work.
13:022:016	Of the gold, the silver, and the brass, and the iron, there is no number. Arise therefore, and be doing, and the LORD be with thee.
13:022:017	David also commanded all the princes of Israel to help Solomon his son, saying,
13:022:018	Is not the LORD your God with you? and hath he not given you rest on every side? for he hath given the inhabitants of the land into mine hand; and the land is subdued before the LORD, and before his people.
13:022:019	Now set your heart and your soul to seek the LORD your God; arise therefore, and build ye the sanctuary of the LORD God, to bring the ark of the covenant of the LORD, and the holy vessels of God, into the house that is to be built to the name of the LORD.
13:023:001	So when David was old and full of days, he made Solomon his son king over Israel.
13:023:002	And he gathered together all the princes of Israel, with the priests and the Levites.
13:023:003	Now the Levites were numbered from the age of thirty years and upward: and their number by their polls, man by man, was thirty and eight thousand.
13:023:004	Of which, twenty and four thousand were to set forward the work of the house of the LORD; and six thousand were officers and judges:
13:023:005	Moreover four thousand were porters; and four thousand praised the LORD with the instruments which I made, said David, to praise therewith.
13:023:006	And David divided them into courses among the sons of Levi, namely, Gershon, Kohath, and Merari.
13:023:007	Of the Gershonites were, Laadan, and Shimei.
13:023:008	The sons of Laadan; the chief was Jehiel, and Zetham, and Joel, three.
13:023:009	The sons of Shimei; Shelomith, and Haziel, and Haran, three. These were the chief of the fathers of Laadan.
13:023:010	And the sons of Shimei were, Jahath, Zina, and Jeush, and Beriah. These four were the sons of Shimei.
13:023:011	And Jahath was the chief, and Zizah the second: but Jeush and Beriah had not many sons; therefore they were in one reckoning, according to their father's house.
13:023:012	The sons of Kohath; Amram, Izhar, Hebron, and Uzziel, four.
13:023:013	The sons of Amram; Aaron and Moses: and Aaron was separated, that he should sanctify the most holy things, he and his sons for ever, to burn incense before the LORD, to minister unto him, and to bless in his name for ever.
13:023:014	Now concerning Moses the man of God, his sons were named of the tribe of Levi.
13:023:015	The sons of Moses were, Gershom, and Eliezer.
13:023:016	Of the sons of Gershom, Shebuel was the chief.
13:023:017	And the sons of Eliezer were, Rehabiah the chief. And Eliezer had none other sons; but the sons of Rehabiah were very many.
13:023:018	Of the sons of Izhar; Shelomith the chief.
13:023:019	Of the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, and Jekameam the fourth.
13:023:020	Of the sons of Uzziel; Micah the first and Jesiah the second.
13:023:021	The sons of Merari; Mahli, and Mushi. The sons of Mahli; Eleazar, and Kish.
13:023:022	And Eleazar died, and had no sons, but daughters: and their brethren the sons of Kish took them.
13:023:023	The sons of Mushi; Mahli, and Eder, and Jeremoth, three.
13:023:024	These were the sons of Levi after the house of their fathers; even the chief of the fathers, as they were counted by number of names by their polls, that did the work for the service of the house of the LORD, from the age of twenty years and upward.
13:023:025	For David said, The LORD God of Israel hath given rest unto his people, that they may dwell in Jerusalem for ever:
13:023:026	And also unto the Levites; they shall no more carry the tabernacle, nor any vessels of it for the service thereof.
13:023:027	For by the last words of David the Levites were numbered from twenty years old and above:
13:023:028	Because their office was to wait on the sons of Aaron for the service of the house of the LORD, in the courts, and in the chambers, and in the purifying of all holy things, and the work of the service of the house of God;
13:023:029	Both for the shewbread, and for the fine flour for meat offering, and for the unleavened cakes, and for that which is baked in the pan, and for that which is fried, and for all manner of measure and size;
13:023:030	And to stand every morning to thank and praise the LORD, and likewise at even:
13:023:031	And to offer all burnt sacrifices unto the LORD in the sabbaths, in the new moons, and on the set feasts, by number, according to the order commanded unto them, continually before the LORD:
13:023:032	And that they should keep the charge of the tabernacle of the congregation, and the charge of the holy place, and the charge of the sons of Aaron their brethren, in the service of the house of the LORD.
13:024:001	Now these are the divisions of the sons of Aaron. The sons of Aaron; Nadab, and Abihu, Eleazar, and Ithamar.
13:024:002	But Nadab and Abihu died before their father, and had no children: therefore Eleazar and Ithamar executed the priest's office.
13:024:003	And David distributed them, both Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their offices in their service.
13:024:004	And there were more chief men found of the sons of Eleazar than of the sons of Ithamar, and thus were they divided. Among the sons of Eleazar there were sixteen chief men of the house of their fathers, and eight among the sons of Ithamar according to the house of their fathers.
13:024:005	Thus were they divided by lot, one sort with another; for the governors of the sanctuary, and governors of the house of God, were of the sons of Eleazar, and of the sons of Ithamar.
13:024:006	And Shemaiah the son of Nethaneel the scribe, one of the Levites, wrote them before the king, and the princes, and Zadok the priest, and Ahimelech the son of Abiathar, and before the chief of the fathers of the priests and Levites: one principal household being taken for Eleazar, and one taken for Ithamar.
13:024:007	Now the first lot came forth to Jehoiarib, the second to Jedaiah,
13:024:008	The third to Harim, the fourth to Seorim,
13:024:009	The fifth to Malchijah, the sixth to Mijamin,
13:024:010	The seventh to Hakkoz, the eighth to Abijah,
13:024:011	The ninth to Jeshuah, the tenth to Shecaniah,
13:024:012	The eleventh to Eliashib, the twelfth to Jakim,
13:024:013	The thirteenth to Huppah, the fourteenth to Jeshebeab,
13:024:014	The fifteenth to Bilgah, the sixteenth to Immer,
13:024:015	The seventeenth to Hezir, the eighteenth to Aphses,
13:024:016	The nineteenth to Pethahiah, the twentieth to Jehezekel,
13:024:017	The one and twentieth to Jachin, the two and twentieth to Gamul,
13:024:018	The three and twentieth to Delaiah, the four and twentieth to Maaziah.
13:024:019	These were the orderings of them in their service to come into the house of the LORD, according to their manner, under Aaron their father, as the LORD God of Israel had commanded him.
13:024:020	And the rest of the sons of Levi were these: Of the sons of Amram; Shubael: of the sons of Shubael; Jehdeiah.
13:024:021	Concerning Rehabiah: of the sons of Rehabiah, the first was Isshiah.
13:024:022	Of the Izharites; Shelomoth: of the sons of Shelomoth; Jahath.
13:024:023	And the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, Jekameam the fourth.
13:024:024	Of the sons of Uzziel; Michah: of the sons of Michah; Shamir.
13:024:025	The brother of Michah was Isshiah: of the sons of Isshiah; Zechariah.
13:024:026	The sons of Merari were Mahli and Mushi: the sons of Jaaziah; Beno.
13:024:027	The sons of Merari by Jaaziah; Beno, and Shoham, and Zaccur, and Ibri.
13:024:028	Of Mahli came Eleazar, who had no sons.
13:024:029	Concerning Kish: the son of Kish was Jerahmeel.
13:024:030	The sons also of Mushi; Mahli, and Eder, and Jerimoth. These were the sons of the Levites after the house of their fathers.
13:024:031	These likewise cast lots over against their brethren the sons of Aaron in the presence of David the king, and Zadok, and Ahimelech, and the chief of the fathers of the priests and Levites, even the principal fathers over against their younger brethren.
13:025:001	Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was:
13:025:002	Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king.
13:025:003	Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the LORD.
13:025:004	Of Heman: the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamtiezer, Joshbekashah, Mallothi, Hothir, and Mahazioth:
13:025:005	All these were the sons of Heman the king's seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters.
13:025:006	All these were under the hands of their father for song in the house of the LORD, with cymbals, psalteries, and harps, for the service of the house of God, according to the king's order to Asaph, Jeduthun, and Heman.
13:025:007	So the number of them, with their brethren that were instructed in the songs of the LORD, even all that were cunning, was two hundred fourscore and eight.
13:025:008	And they cast lots, ward against ward, as well the small as the great, the teacher as the scholar.
13:025:009	Now the first lot came forth for Asaph to Joseph: the second to Gedaliah, who with his brethren and sons were twelve:
13:025:010	The third to Zaccur, he, his sons, and his brethren, were twelve:
13:025:011	The fourth to Izri, he, his sons, and his brethren, were twelve:
13:025:012	The fifth to Nethaniah, he, his sons, and his brethren, were twelve:
13:025:013	The sixth to Bukkiah, he, his sons, and his brethren, were twelve:
13:025:014	The seventh to Jesharelah, he, his sons, and his brethren, were twelve:
13:025:015	The eighth to Jeshaiah, he, his sons, and his brethren, were twelve:
13:025:016	The ninth to Mattaniah, he, his sons, and his brethren, were twelve:
13:025:017	The tenth to Shimei, he, his sons, and his brethren, were twelve:
13:025:018	The eleventh to Azareel, he, his sons, and his brethren, were twelve:
13:025:019	The twelfth to Hashabiah, he, his sons, and his brethren, were twelve:
13:025:020	The thirteenth to Shubael, he, his sons, and his brethren, were twelve:
13:025:021	The fourteenth to Mattithiah, he, his sons, and his brethren, were twelve:
13:025:022	The fifteenth to Jeremoth, he, his sons, and his brethren, were twelve:
13:025:023	The sixteenth to Hananiah, he, his sons, and his brethren, were twelve:
13:025:024	The seventeenth to Joshbekashah, he, his sons, and his brethren, were twelve:
13:025:025	The eighteenth to Hanani, he, his sons, and his brethren, were twelve:
13:025:026	The nineteenth to Mallothi, he, his sons, and his brethren, were twelve:
13:025:027	The twentieth to Eliathah, he, his sons, and his brethren, were twelve:
13:025:028	The one and twentieth to Hothir, he, his sons, and his brethren, were twelve:
13:025:029	The two and twentieth to Giddalti, he, his sons, and his brethren, were twelve:
13:025:030	The three and twentieth to Mahazioth, he, his sons, and his brethren, were twelve:
13:025:031	The four and twentieth to Romamtiezer, he, his sons, and his brethren, were twelve.
13:026:001	Concerning the divisions of the porters: Of the Korhites was Meshelemiah the son of Kore, of the sons of Asaph.
13:026:002	And the sons of Meshelemiah were, Zechariah the firstborn, Jediael the second, Zebadiah the third, Jathniel the fourth,
13:026:003	Elam the fifth, Jehohanan the sixth, Elioenai the seventh.
13:026:004	Moreover the sons of Obededom were, Shemaiah the firstborn, Jehozabad the second, Joah the third, and Sacar the fourth, and Nethaneel the fifth.
13:026:005	Ammiel the sixth, Issachar the seventh, Peulthai the eighth: for God blessed him.
13:026:006	Also unto Shemaiah his son were sons born, that ruled throughout the house of their father: for they were mighty men of valour.
13:026:007	The sons of Shemaiah; Othni, and Rephael, and Obed, Elzabad, whose brethren were strong men, Elihu, and Semachiah.
13:026:008	All these of the sons of Obededom: they and their sons and their brethren, able men for strength for the service, were threescore and two of Obededom.
13:026:009	And Meshelemiah had sons and brethren, strong men, eighteen.
13:026:010	Also Hosah, of the children of Merari, had sons; Simri the chief, (for though he was not the firstborn, yet his father made him the chief;)
13:026:011	Hilkiah the second, Tebaliah the third, Zechariah the fourth: all the sons and brethren of Hosah were thirteen.
13:026:012	Among these were the divisions of the porters, even among the chief men, having wards one against another, to minister in the house of the LORD.
13:026:013	And they cast lots, as well the small as the great, according to the house of their fathers, for every gate.
13:026:014	And the lot eastward fell to Shelemiah. Then for Zechariah his son, a wise counsellor, they cast lots; and his lot came out northward.
13:026:015	To Obededom southward; and to his sons the house of Asuppim.
13:026:016	To Shuppim and Hosah the lot came forth westward, with the gate Shallecheth, by the causeway of the going up, ward against ward.
13:026:017	Eastward were six Levites, northward four a day, southward four a day, and toward Asuppim two and two.
13:026:018	At Parbar westward, four at the causeway, and two at Parbar.
13:026:019	These are the divisions of the porters among the sons of Kore, and among the sons of Merari.
13:026:020	And of the Levites, Ahijah was over the treasures of the house of God, and over the treasures of the dedicated things.
13:026:021	As concerning the sons of Laadan; the sons of the Gershonite Laadan, chief fathers, even of Laadan the Gershonite, were Jehieli.
13:026:022	The sons of Jehieli; Zetham, and Joel his brother, which were over the treasures of the house of the LORD.
13:026:023	Of the Amramites, and the Izharites, the Hebronites, and the Uzzielites:
13:026:024	And Shebuel the son of Gershom, the son of Moses, was ruler of the treasures.
13:026:025	And his brethren by Eliezer; Rehabiah his son, and Jeshaiah his son, and Joram his son, and Zichri his son, and Shelomith his son.
13:026:026	Which Shelomith and his brethren were over all the treasures of the dedicated things, which David the king, and the chief fathers, the captains over thousands and hundreds, and the captains of the host, had dedicated.
13:026:027	Out of the spoils won in battles did they dedicate to maintain the house of the LORD.
