41:001:001	The beginning of the gospel of Jesus Christ, the Son of God;
41:015:015	And so Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged him, to be crucified.
41:015:016	And the soldiers led him away into the hall, called Praetorium; and they call together the whole band.
41:015:017	And they clothed him with purple, and platted a crown of thorns, and put it about his head,
41:015:018	And began to salute him, Hail, King of the Jews!
41:015:019	And they smote him on the head with a reed, and did spit upon him, and bowing their knees worshipped him.
41:015:020	And when they had mocked him, they took off the purple from him, and put his own clothes on him, and led him out to crucify him.
41:015:021	And they compel one Simon a Cyrenian, who passed by, coming out of the country, the father of Alexander and Rufus, to bear his cross.
41:015:022	And they bring him unto the place Golgotha, which is, being interpreted, The place of a skull.
41:015:023	And they gave him to drink wine mingled with myrrh: but he received it not.
41:015:024	And when they had crucified him, they parted his garments, casting lots upon them, what every man should take.
41:015:025	And it was the third hour, and they crucified him.
41:015:026	And the superscription of his accusation was written over, THE KING OF THE JEWS.
41:015:027	And with him they crucify two thieves; the one on his right hand, and the other on his left.
41:015:028	And the scripture was fulfilled, which saith, And he was numbered with the transgressors.
41:015:029	And they that passed by railed on him, wagging their heads, and saying, Ah, thou that destroyest the temple, and buildest it in three days,
41:015:030	Save thyself, and come down from the cross.
41:015:031	Likewise also the chief priests mocking said among themselves with the scribes, He saved others; himself he cannot save.
41:015:032	Let Christ the King of Israel descend now from the cross, that we may see and believe. And they that were crucified with him reviled him.
41:015:033	And when the sixth hour was come, there was darkness over the whole land until the ninth hour.
41:015:034	And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?
41:015:035	And some of them that stood by, when they heard it, said, Behold, he calleth Elias.
41:015:036	And one ran and filled a spunge full of vinegar, and put it on a reed, and gave him to drink, saying, Let alone; let us see whether Elias will come to take him down.
41:015:037	And Jesus cried with a loud voice, and gave up the ghost.
41:015:038	And the veil of the temple was rent in twain from the top to the bottom.
41:015:039	And when the centurion, which stood over against him, saw that he so cried out, and gave up the ghost, he said, Truly this man was the Son of God.
41:015:040	There were also women looking on afar off: among whom was Mary Magdalene, and Mary the mother of James the less and of Joses, and Salome;
41:015:041	(Who also, when he was in Galilee, followed him, and ministered unto him;) and many other women which came up with him unto Jerusalem.
41:015:042	And now when the even was come, because it was the preparation, that is, the day before the sabbath,
41:015:043	Joseph of Arimathaea, an honourable counsellor, which also waited for the kingdom of God, came, and went in boldly unto Pilate, and craved the body of Jesus.
41:015:044	And Pilate marvelled if he were already dead: and calling unto him the centurion, he asked him whether he had been any while dead.
41:015:045	And when he knew it of the centurion, he gave the body to Joseph.
41:015:046	And he bought fine linen, and took him down, and wrapped him in the linen, and laid him in a sepulchre which was hewn out of a rock, and rolled a stone unto the door of the sepulchre.
41:015:047	And Mary Magdalene and Mary the mother of Joses beheld where he was laid.
41:016:001	And when the sabbath was past, Mary Magdalene, and Mary the mother of James, and Salome, had bought sweet spices, that they might come and anoint him.
41:016:002	And very early in the morning the first day of the week, they came unto the sepulchre at the rising of the sun.
41:016:003	And they said among themselves, Who shall roll us away the stone from the door of the sepulchre?
41:016:004	And when they looked, they saw that the stone was rolled away: for it was very great.
41:016:005	And entering into the sepulchre, they saw a young man sitting on the right side, clothed in a long white garment; and they were affrighted.
41:016:006	And he saith unto them, Be not affrighted: Ye seek Jesus of Nazareth, which was crucified: he is risen; he is not here: behold the place where they laid him.
41:016:007	But go your way, tell his disciples and Peter that he goeth before you into Galilee: there shall ye see him, as he said unto you.
41:016:008	And they went out quickly, and fled from the sepulchre; for they trembled and were amazed: neither said they any thing to any man; for they were afraid.
41:016:009	Now when Jesus was risen early the first day of the week, he appeared first to Mary Magdalene, out of whom he had cast seven devils.
41:016:010	And she went and told them that had been with him, as they mourned and wept.
41:016:011	And they, when they had heard that he was alive, and had been seen of her, believed not.
41:016:012	After that he appeared in another form unto two of them, as they walked, and went into the country.
41:016:013	And they went and told it unto the residue: neither believed they them.
41:016:014	Afterward he appeared unto the eleven as they sat at meat, and upbraided them with their unbelief and hardness of heart, because they believed not them which had seen him after he was risen.
41:016:015	And he said unto them, Go ye into all the world, and preach the gospel to every creature.
41:016:016	He that believeth and is baptized shall be saved; but he that believeth not shall be damned.
41:016:017	And these signs shall follow them that believe; In my name shall they cast out devils; they shall speak with new tongues;
41:016:018	They shall take up serpents; and if they drink any deadly thing, it shall not hurt them; they shall lay hands on the sick, and they shall recover.
41:016:019	So then after the Lord had spoken unto them, he was received up into heaven, and sat on the right hand of God.
41:016:020	And they went forth, and preached every where, the Lord working with them, and confirming the word with signs following. Amen.
